Id,Painting_title,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Total_colors
239,Camper's Haven,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,11
240,Waterfall in the Woods,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,14
241,Covered Bridge Oval,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,10
242,Scenic Seclusion,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
243,Ebb Tide,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,10
244,After the Rain,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
245,Winter Elegance,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,9
246,Evening's Peace,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,10
247,Valley of Tranquility,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
248,Mystic Mountain,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
249,New Day's Dawn,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,12
250,Winter in Pastel,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,9
251,Hazy Day,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
252,Divine Elegance,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,12
253,Cliffside,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
254,Autumn Fantasy,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
255,The Old Oak Tree,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,13
256,Winter Paradise,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,6
257,Days Gone By,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
258,Change of Seasons,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
259,Hidden Delight,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
260,Double Take,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
261,Valley View,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,13
262,Tranquil Dawn,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,10
263,Royal Majesty,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,14
264,Serenity,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
265,Cabin at Trails End,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,13
266,Mountain Rhapsody,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,8
267,Wilderness Cabin,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,14
